name,latitude,longitude,population,district,state,hazard_type,hazard_severity,elevation,children_count,elderly_count,disabled_count,pregnant_women_count,below_poverty_count,housing_quality,road_accessibility,distance_from_hazard_km,historical_event_count,last_event_year,water_capacity_liters_per_day,shelter_capacity_persons,healthcare_beds,evacuation_route_quality,food_stock_days,sanitation_coverage_pct,safe_land_area_sqkm,nearby_hospital_count,nearby_school_count,nearby_shelter_count,rainfall_annual_mm,slope_degrees,soil_type
# ──────────────────────────────────────────────────────────────────────────────
# DRIPS Habitation Data Template  |  SIH26191
# ──────────────────────────────────────────────────────────────────────────────
# Instructions:
#   1. Delete these comment lines (starting with #) before importing
#   2. Replace sample rows with your real village data
#   3. Required columns: name, latitude, longitude, population
#   4. All other columns are optional — defaults will be filled automatically
#   5. Run: python3 import_data.py --file this_file.csv --dry-run  (to validate)
#   6. Run: python3 import_data.py --file this_file.csv            (to import)
#
# Column Reference:
#   hazard_type          → flood | landslide | cyclone | drought | earthquake | wildfire | industrial | none
#   hazard_severity      → 0.0 (none) to 1.0 (extreme)
#   housing_quality      → 1 (mud/kutcha) to 5 (concrete/pucca)
#   road_accessibility   → 1 (no road / seasonal track) to 5 (paved highway)
#   evacuation_route     → 1 (blocked / no route) to 5 (excellent multi-route)
#   slope_degrees        → 0 (flat) to 45 (very steep)
#   soil_type            → Alluvial | Sandy | Rocky | Black | Clay | Loam
# ──────────────────────────────────────────────────────────────────────────────
#
# SAMPLE ROW 1: Flood-prone village (Bihar)
Kosi Diara,26.120,85.391,4820,Muzaffarpur,Bihar,flood,0.88,48,1200,580,145,78,3200,2,2,1.2,5,2023,48200,220,10,2,3,42,0.45,1,2,1,1280,1,Alluvial
#
# SAMPLE ROW 2: Landslide-prone village (Uttarakhand)
Kedarnath Tali,30.735,79.066,640,Rudraprayag,Uttarakhand,landslide,0.92,1920,160,80,18,9,410,2,1,0.4,4,2023,8000,35,2,1,5,48,0.12,0,1,0,1540,38,Rocky
#
# SAMPLE ROW 3: Coastal/cyclone village (Odisha)
Satabhaya Coast,20.680,86.988,3280,Kendrapara,Odisha,cyclone,0.80,4,780,390,90,44,2100,2,2,1.8,3,2021,32800,160,7,2,4,52,0.70,1,2,1,1380,0,Sandy
#
# SAMPLE ROW 4: Drought-prone village (Rajasthan)
Balotra Tanda,25.842,72.230,1560,Barmer,Rajasthan,drought,0.75,205,360,175,42,21,1050,3,2,0.0,3,2022,7800,90,3,2,4,38,2.10,0,1,0,185,1,Sandy
#
# SAMPLE ROW 5: Safe inland village (Madhya Pradesh)
Pipariya Gram,22.773,78.360,2900,Narmadapuram,Madhya Pradesh,none,0.10,310,650,310,72,36,1200,4,4,10.0,0,0,29000,200,8,4,12,88,1.80,1,3,1,1090,1,Black
#
# ── YOUR DATA BELOW THIS LINE ─────────────────────────────────────────────────
# Delete the sample rows above and paste your data here.
# Tip: Open in Excel/LibreOffice Calc, fill the columns, Save As CSV.
